file_name,img_width,img_height,text
HCP - DERM Animated 1 Frame Banner_p4-16.png,470,5734,"Indications and Important Safety Information  Taltz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy, adults with active ankylosing spondylitis, and for adults with active psoriatic arthritis.  CONTRAINDICATIONS  Taltz is contraindicated in patients with a previous serious hypersensitivity reaction, such as anaphylaxis, to ixekizumab or to any of the excipients.  WARNINGS AND PRECAUTIONS  Infections  Taltz may increase the risk of infection. In clinical trials of patients with plaque psoriasis, the Taltz group had a higher rate of infections than the placebo group (27% vs 23%). A similar increase in risk of infection was seen in placebo-controlled trials of patients with psoriatic arthritis and ankylosing spondylitis. Serious infections have occurred. Instruct patients to seek medical advice if signs or symptoms of clinically important chronic or acute infection occur. If a serious infection develops, discontinue Taltz until the infection resolves.  Pre-Treatment Evaluation for Tuberculosis  Evaluate patients for tuberculosis (TB) infection prior to initiating treatment with Taltz. Do not administer to patients with active TB infection. Initiate treatment of latent TB prior to administering Taltz. Closely monitor patients receiving Taltz for signs and symptoms of active TB during and after treatment.  Hypersensitivity  Serious hypersensitivity reactions, including angioedema and urticaria (each 501%), occurred in the Taltz group in clinical trials. Anaphylaxis, including cases leading to hospitalization, has been reported in post-marketing use with Taltz. If a serious hypersensitivity reaction occurs, discontinue Taltz immediately and initiate appropriate therapy.  Inflammatory Bowel Disease  During Taltz treatment, monitor patients for onset or exacerbations of inflammatory bowel disease. Crohn’s disease and ulcerative colitis, including exacerbations, occurred at a greater frequency in the Taltz 80 mg 02W group (Crohn’s disease 0.1%, ulcerative colitis 0.2%) than in the placebo group (0%) during clinical trials in patients with plaque psoriasis and in the Taltz Q4W group in ankylosing spondylitis trials (Crohn’s disease 1.0% [2 patients], ulcerative colitis 0.5% [1 patient]) than in the placebo group (Crohn’s disease 0.5% [1 patient], ulcerative colitis 0%). In the ankylosing spondylitis trials, serious events occurred in 1 patient in the Taltz group and 1 patient in the placebo group.  Immunizations  Prior to initiating therapy with Taltz, consider completion of all age- appropriate immunizations according to current immunization guidelines. Avoid use of live vaccines in patients treated with Taltz.  ADVERSE REACTIONS  Most common adverse reactions (21%) associated with Taltz treatment are injection site reactions, upper respiratory tract infections, nausea, and tinea infections. Overall, the safety profiles observed in patients with psoriatic arthritis and ankylosing spondylitis were consistent with the safety profile in patients with plaque psoriasis, with the exception of influenza and conjunctivitis in psoriatic arthritis.  Please click to access the Prescribing Information and Medication Guide. Please see Instructions for Use included with the device.  IX HCP ISI 23AUG2019  Taltz® is a registered trademark owned or licensed by Eli Lilly and Company, its subsidiaries and affiliates.  PP-lX—US-3232 09/2019 ©Lilly USA, LLC 2019. Mghts reserved.  $49"
HCP - DERM Animated Banner PASI100_p0-115.png,480,1800,taltz  (ixekizumab)  injection 80 mg/mL  Learn more  s4“
HCP - DERM Animated Banner PASI100_p1-4.png,480,1800,"taltz  (ixekizumab)  injection 80 mg/mL  aboutthe  first and only |L-17A  antagonist  a?”  Prescribing Information  INDICATIONS AND IMPORTANT SAFETY INFORMATION  Taltz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy. adults with active ankylosing spondylitis, and for adults with active psoriatic arthritis."
HCP - DERM Animated Banner PASI100_p2-8.png,480,1800,"taltz  (ixekizlumab)  injection 80 mg/mL  with PASI 100 included in the prescribing information  for PsO.  Prescribing Information  INDICATIONS AND IMPORTANT SAFETY INFORMATION  Taltz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy, adults with active ankylosing spondylitis, and for adults with active psoriatic arthritis."
HCP - DERM Animated Banner PASI100_p3-12.png,480,1800,"taltz  (ixekizlumab)  injection 80 mg/mL  Think efficacy. Think Taltz.  ‘4‘  Prescribing Information  INDICATIONS AND IMPORTANT SAFETY INFORMATION  Taltz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy, adults with active ankylosing spondylitis, and for adults with active psoriatic arthritis."
HCP - DERM Animated Banner PASI100_p4-16.png,900,750,"talt""'z‘*  (ixekizumab) \ﬂJeCtIOH 80 mg/mL  Learn more  s’ﬁ"
HCP - DERM Animated Banner PASI100_p5-20.png,900,750,talt‘E'  (ixekizumab) injection 80 mg/mL  about the first and only  |L-17A antagonist  INDICATIONS AND IMPORTANT SAFETY        INFORMATION  Taltz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or
HCP - DERM Animated Banner PASI100_p6-24.png,900,750,taltz  (ixekizumab) inj ection 80 mg/mL  with PASI 100 included in the  prescribing information for PsO.  Prescribing Information  INDICATIONS AND IMPORTANT SAFETY INFORMATION  Taltz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or
HCP - DERM Animated Banner PASI100_p7-28.png,900,750,taltz  (ixekizumab) IIIJ ection 80 mg/mL  Think efficacy. Think Taltz.  Prescribing Information  INDICATIONS AND IMPORTANT SAFETY INFORMATION  Taltz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or
HCP - DERM Animated Banner PASI100_p8-32.png,900,1800,taltz  (ixekizumab)  injection 80 mg/mL  Learn more  a?“
HCP - DERM Animated Banner PASI100_p9-36.png,900,1800,"taltz  (ixekizumab)  injection 80 mg/mL  about the first  and only lL-17A antagonist  @  Prescribing Information  INDICATIONS AND IMPORTANT SAFETY INFORMATION  Taltz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or  phototherapy, adults with active ankylosing spondylitis, and for adults with active psoriatic arthritis.  CONTRAINDICATIONS  Taltz is contraindicated in patients with a previous serious hypersensitivity reaction, such as anaphylaxis, to ixekizumab or to any of the excipients.  WARNINGS AND PRECAUTIONS"
HCP - DERM Animated Banner PASI100_p10-40.png,900,1800,"taltz  (ixekizumab)  injection 80 mg/mL  with PASI 100 included in the prescribing information for PsO.  Prescribing Information  INDICATIONS AND IMPORTANT SAFETY INFORMATION  Taltz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy, adults with active ankyiosing spondylitis, and for adults with active psoriatic arthritis.  CONTRAINDICATIONS  Taltz is contraindicated in patients with a previous serious hypersensitivity reaction, such as anaphylaxis, to ixekizumab or to any of the excipients.  WARNINGS AND PRECAUTIONS"
HCP - DERM Animated Banner PASI100_p11-44.png,900,1800,"taltz  (ixekizumab)  injection 80 mg/mL  Think efficacy. Think Taltz.>  x’t‘  Prescribing Information  INDICATIONS AND IMPORTANT SAFETY INFORMATION  Taltz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy, adults with active ankylosing spondylitis, and for adults with active psoriatic arthritis.  CONTRAINDICATIONS  Taltz is contraindicated in patients with a previous serious hypersensitivity reaction, such as anaphylaxis, to ixekizumab or to any of the excipients.  WARNINGS AND PRECAUTIONS"
HCP - DERM Animated Banner PASI100_p12-48.png,2184,270,tglt‘it‘) qgjeegggw Learn more 80mg/mL
HCP - DERM Animated Banner PASI100_p13-52.png,2184,270,"Prescribing Information  talt‘E ' INDI ATI N AND IMP RTANT AFETY axgkgumab) about the first and only lNFcfmﬁlgN 0 S : InjeC Ion I L-17A a ”tag0 n '51: Taltz is indicated for adults with moderate to severe plaque  80 mg/mL     psoriasis who are candidates for systemic therapy or nohotothera .adults with active ank Iosin- sond Iitis, and"
HCP - DERM Animated Banner PASI100_p14-56.png,2184,270,"taltz with PAS| 100 included in the INDICATIONS AND IMPORTANT SAFETY  (ixektziumam . . . . INFORMATION iﬂjeCUOﬂ p I’BSCI’I b I ng Info rm atlo n fo r P30 - Taitz is indicated for adults with moderate to severe plaque  80 mg/mL . . . . psorIaSIs who are candldates for systemlc therapy or Hhotothera ,aduits with active ank iosin- s-ond litis, and"
HCP - DERM Animated Banner PASI100_p15-60.png,2184,270,"Prescribing Information  . . . INDICATIONS AND IMPORTANT SAFETY (ixew‘zumab Think efficacy. Think Taltz. > INFORMATION  in‘eciion 8(J) mE/mL Taltz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or  unhotothera , adults with active ank Iosin s-ond litis, and  talt‘E"
HCP - DERM Animated Banner PASI100_p16-64.png,471,4186,"INDICATIONS AND IMPORTANT SAFETY INFORMATION  Taltz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy, adults with active ankylosing spondylitis, and for adults with active psoriatic arthritis.  CONTRAINDICATIONS  Taltz is contraindicated in patients with a previous serious hypersensitivity reaction, such as anaphylaxis, to ixekizumab or to any of the excipients.  WARNINGS AND PRECAUTIONS  Infections  Taltz may increase the risk of infection. In clinical trials of patients with plaque psoriasis, the Taltz group had a higher rate of infections than the placebo group (27% vs 23%). A similar increase in risk of infection was seen in placebocontrolled trials of patients with psoriatic arthritis and ankylosing spondylitis. Serious infections have occurred. Instruct patients to seek medical advice if signs or symptoms of clinically important chronic or acute infection occur. If a serious infection develops, discontinue Taltz until the infection resolves.  Pre-Treatment Evaluation for Tuberculosis  Evaluate patients for tuberculosis (TB) infection prior to initiating treatment with Taltz. Do not administer to patients with active TB infection. Initiate treatment of latent TB prior to administering Taltz. Closely monitor patients receiving Taltz for signs and symptoms of active TB during and after treatment.  Hypersensitivity  Serious hypersensitivity reactions, including angioedema and urticaria (each 50.1%), occurred in the Taltz group in clinical trials. Anaphylaxis, including cases leading to hospitalization, has been reported in post-marketing use with Taltz. If a serious hypersensitivity reaction occurs, discontinue Taltz immediately and initiate appropriate therapy.  Inflammatory Bowel Disease  During Taltz treatment, monitor patients for onset or exacerbations of inflammatory bowel disease. Crohn‘s disease and ulcerative colitis, including exacerbations, occurred at a greater frequency in the Taltz 80 mg 02W group (Crohn’s disease 0.1%, ulcerative colitis 0.2%) than in the placebo group (0%) during clinical trials in patients with plaque psoriasis and in the Taltz Q4W group in ankylosing spondylitis trials (Crohn’s disease 1.0% [2 patients], ulcerative colitis 0.5% [1 patient]) than in the placebo group (Crohn’s disease 0.5% [1 patient], ulcerative colitis 0%). In the ankylosing spondylitis trials, serious events occurred in 1 patient in the Taltz group and 1 patient in the placebo group.  Immunizations  Prior to initiating therapy with Taltz, consider completion of all age-appropriate immunizations according to current immunization guidelines. Avoid use of live vaccines in patients treated with Taltz.  ADVERSE REACTIONS  Most common adverse reactions (21%) associated with Taltz treatment are injection site reactions, upper respiratory tract infections, nausea, and tinea infections. Overall, the safety profiles observed in patients with psoriatic arthritis and ankylosing spondylitis were consistent with the safety profile in patients with plaque psoriasis, with the exception of influenza and conjunctivitis in psoriatic arthritis.  Please click to access the Prescribing Information and Medication Guide. Please see Instructions for Use included with the device.  IX HCP ISI 23AUG2019  Taltz® is a registered trademark owned or licensed by Eli Lilly and Company, its subsidiaries, and affiliates.  PP-IX-US-3231 09/2019 ©Li||y USA, LLC 2019. All rights resen/ed.  $29"
HCP - DERM Animated Banner LT Efficacy_p0-144.png,480,1800,taltz  (melewnab)  imedmn 80 mg/mL  For Patients Wlth
HCP - DERM Animated Banner LT Efficacy_p1-4.png,480,1800,"taltz  (ixekizlumab)  injection 80 mg/mL  lo"" trifle t!‘  Plaque Psoriasis  Prescribing Information  Indications and Important Safety Information  Taltz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy, adults with active ankylosing spondylitis, and for adults with active psoriatic"
HCP - DERM Animated Banner LT Efficacy_p2-8.png,480,1800,"taltz  (ixekizlumab)  injection 80 mg/mL  Discover skin clearance data reg ardiess  Prescribing Information  Indications and Important Safety Information  TaItz is indicated for aduIts with moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy, adults with active ankylosing spondyIitis, and for adults with active psoriatic"
HCP - DERM Animated Banner LT Efficacy_p3-12.png,480,1800,"taltz  (ixekizlumab)  injection 80 mg/mL  Discover skin clearance data regardless  of biologic  expeﬁence  Prescribing Information  Indications and Important Safety Information  TaItz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy, adults with active ankylosing spondylitis, and for adults with active psoriatic"
HCP - DERM Animated Banner LT Efficacy_p4-16.png,480,1800,"taltz  (ixekizlumab)  injection 80 mg/mL  Explore results that last >  Prescribing Information  Indications and Important Safety Information  Taltz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy, adults with active ankylosing spondylitis, and for adults with active psoriatic"
HCP - DERM Animated Banner LT Efficacy_p5-20.png,900,750,talt‘E“  (ixekizumab) injection 80 mg/mL     For Patients with
HCP - DERM Animated Banner LT Efficacy_p6-24.png,900,750,"taltz  (ixekizumab) Iii} ection 80 mg/mL  For Patients with Plaque Psoriasis  Prescribing Information  Indications and Important Safety Information  Taltz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy, adults with active ankylosing spondylitis, and for"
HCP - DERM Animated Banner LT Efficacy_p7-28.png,900,750,"talt""'z‘r  (ixekizumab) injection 80 mg/mL  Discover skin Clearance  data regardless     Prescribing Information  Indications and Important Safety Information  Taltz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy. adults with active ankylosing spondylitis, and for"
HCP - DERM Animated Banner LT Efficacy_p8-32.png,900,750,"taltz  (ixekizumab) lllj ection 80 mg/mL  Discover skin clearance  data regardless of biologic experience  Prescribing Information  Indications and Important Safety Information  TaItz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy, adults with active ankylosing spondylitis, and for"
HCP - DERM Animated Banner LT Efficacy_p9-36.png,900,750,"taltz  (ixekizumab) Iii} ection 80 mg/mL  Explore results that last >  Prescribing Information  Indications and Important Safety Information  Taltz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy, adults with active ankylosing spondylitis, and for"
HCP - DERM Animated Banner LT Efficacy_p10-40.png,900,1800,taltz  (ixekizlumab)  injection 80 mg/mL  For Patients with
HCP - DERM Animated Banner LT Efficacy_p11-44.png,900,1800,"taltz  (ixekizlumab)  injection 80 mg/mL  For Patients with Plaque Psoriasis  Prescribing Information  Indications and Important Safety Information  Taltz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy, adults with active ankylosing spondylitis, and for adults with active psoriatic arthritis.  CONTRAINDICATIONS  Taltz is contraindicated in patients with a previous serious hypersensitivity reaction, such as anaphylaxis, to ixekizumab or to any of the excipients.  uni nun-Inn A un urn-A- I I'Plnlll‘"
HCP - DERM Animated Banner LT Efficacy_p12-48.png,900,1800,"taltz  (ixekizlumab)  injection 80 mg/mL  Discover skin clearance data  regardless  Prescribing Information  Indications and Important Safety Information  Taltz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy, adults with active ankylosing spondylitis, and for adults with active psoriatic arthritis.  CONTRAINDICATIONS  TaItz is contraindicated in patients with a previous serious hypersensitivity reaction, such as anaphylaxis, to ixekizumab or to any of the excipients.  uni nun-Inn A un urn-A- I I'Plnlll‘"
HCP - DERM Animated Banner LT Efficacy_p13-52.png,900,1800,"taltz  (ixekizlumab)  injection 80 mg/mL  Discover skin clearance data  regardless  of biologic experience  Prescribing Information  Indications and Important Safety Information  Taltz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy, adults with active ankylosing spondylitis, and for adults with active psoriatic arthritis.  CONTRAINDICATIONS  TaItz is contraindicated in patients with a previous serious hypersensitivity reaction, such as anaphylaxis, to ixekizumab or to any of the excipients.  uni nun-Inn A un urn-A- I I'Plnlll‘"
HCP - DERM Animated Banner LT Efficacy_p14-56.png,900,1800,"taltz  (mehzlwnab)  imedmn 80 mg/mL  Explore results that last >  Prescribing Information  Indications and Important Safety Information  Taltz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy, adults with active ankonsing spondylitis, and for adults with active psoriatic arthritis.  CONTRAINDICATIONS  Taltz is contraindicated in patients with a previous serious hypersensitivity reaction, such as anaphylaxis, to ixekizumab or to any of the excipients.  uni nun-Inn A un urn-A- I I'Plnlll‘"
HCP - DERM Animated Banner LT Efficacy_p15-60.png,2184,270,ta|f§ For Patients with        (ixekizumabiin njection 80 mg/mL
HCP - DERM Animated Banner LT Efficacy_p16-64.png,2184,270,"A ta Itvz FO r Patl 6 nts W I t h Indications and Important Safety Information .  (lxeklzumab) lnjeclion Taltz is indicated for adults with moderate to severe plaque  I I 80 mg/mL P I a q u 6 P80 r I a s I s psoriasis who are candidates for systemic therapy or  phototherapy, adults with active ankylosing spondylitis, and"
HCP - DERM Animated Banner LT Efficacy_p17-68.png,2184,270,"Prescribing Information  A taltvz Discover skin clearance data Indications and Important Safety Information '  (ixeklzumab) IﬂjGCTiOﬂ r a rd I 685 Taltz is indicated for adults with moderate to severe plaque 80 mg/mL e g psoriasis who are candidates for systemic therapy or phototherapy, adults with active ankylosing spondylitis, and"
HCP - DERM Animated Banner LT Efficacy_p18-72.png,2184,270,"Prescribing Information  A v , . taltz DISCOVGI’ Skll’l clearance data Indications and Important Safety Information .  (lXBkIZUﬂ'Iab) INJECTIOH regardless of biologic experience Taltz is indicated for adults with moderate to severe plaque  80 mg/mL psoriasis who are candidates for systemic therapy or phototherapy, adults with active ankylosing spondylitis, and"
HCP - DERM Animated Banner LT Efficacy_p19-76.png,2184,270,"Prescribing Information  Indications and Important Safety Information . (lXBkIZUﬂ'Iab) INJECTIOH Exp I 0 re res"" Its that laSt > Taltz is indicated for adults with moderate to severe plaque  80 mg/mL — psoriasis who are candidates for systemic therapy or phototherapy, adults with active ankonsing spondylitis, and  talt‘E-"
HCP - DERM Animated Banner LT Efficacy_p20-80.png,480,4989,"Indications and Important Safety Information  Taltz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy, adults with active ankylosing spondylitis, and for adults with active psoriatic arthritis.  CONTRAINDICATIONS  Taltz is contraindicated in patients with a previous serious hypersensitivity reaction, such as anaphylaxis, to ixekizumab or to any of the excipients.  WARNINGS AND PRECAUTIONS  Infections  Taltz may increase the risk of infection. In clinical trials of patients with plaque psoriasis, the Taltz group had a higher rate of infections than the placebo group (27% vs 23%). A similar increase in risk of infection was seen in placebocontrolled trials of patients with psoriatic arthritis and ankylosing spondylitis. Serious infections have occurred. Instruct patients to seek medical advice if signs or symptoms of clinically important chronic or acute infection occur. If a serious infection develops, discontinue Taltz until the infection resolves.  Pre-Treatment Evaluation for Tuberculosis  Evaluate patients for tuberculosis (TB) infection prior to initiating treatment with Taltz. Do not administer to patients with active TB infection. Initiate treatment of latent TB prior to administering Taltz. Closely monitor patients receiving Taltz for signs and symptoms of active TB during and after treatment.  Hypersensitivity  Serious hypersensitivity reactions, including angioedema and urticaria (each 50.1%), occurred in the Taltz group in clinical trials. Anaphylaxis, including cases leading to hospitalization, has been reported in post-marketing use with Taltz. If a serious hypersensitivity reaction occurs, discontinue Taltz immediately and initiate appropriate therapy.  Inflammatory Bowel Disease  During Taltz treatment, monitor patients for onset or exacerbations of inflammatory bowel disease. Crohn’s disease and ulcerative colitis, including exacerbations, occurred at a greater frequency in the Taltz 80 mg 02W group (Crohn’s disease 0.1%, ulcerative colitis 0.2%) than in the placebo group (0%) during clinical trials in patients with plaque psoriasis and in the Taltz Q4W group in ankylosing spondylitis trials (Crohn’s disease 1.0% [2 patients], ulcerative colitis 0.5% [1 patient]) than in the placebo group (Crohn’s disease 0.5% [1 patient], ulcerative colitis 0%). In the ankylosing spondylitis trials, serious events occurred in 1 patient in the Taltz group and 1 patient in the placebo group.  Immunizations  Prior to initiating therapy with Taltz, consider completion of all age-appropriate immunizations according to current immunization guidelines. Avoid use of live vaccines in patients treated with Taltz.  ADVERSE REACTIONS  Most common adverse reactions (21%) associated with Taltz treatment are injection site reactions, upper respiratory tract infections, nausea, and tinea infections. Overall, the safety profiles observed in patients with psoriatic arthritis and ankylosing spondylitis were consistent with the safety profile in patients with plaque psoriasis, with the exception of influenza and conjunctivitis in psoriatic arthritis.  Please click to access the Prescribing Information and Medication Guide. Please see Instructions for Use included with the device.  IX HCP ISl 23AUG2019  Taltz® is a registered trademark owned or licensed by Eli Lilly and Company, its subsidiaries and affiliates.  PP-lX-US-3228 09/2019 ©Li|ly USA, LLC 2019. All rigm  reserved."
HCP - DERM Mobile Animated Banner_p0-34.png,600,100,"taItE  WA numb      What can Taltz do for your patients?  !  “A  Q,"
HCP - DERM Mobile Animated Banner_p1-4.png,600,100,"LEARN MORE HERE> "".'  ‘3‘"
HCP - DERM Mobile Animated Banner_p2-8.png,640,100,taltz  M) \     What can Taltz do for your patients7  30:
HCP - DERM Mobile Animated Banner_p3-12.png,640,100,
HCP - DERM Mobile Static Banner LT Efficacy_p0-15.png,1200,1280,PP-lX—US—2398 300x50 gay     Th k Taltz        PPVIXVUSV2398 © Lllly USA‘ LLC 2018 All llghts leserved Last madlﬂed Thu Ma! 28 2019 20 35 59
HCP - DERM Mobile Static Banner LT Efficacy_p1-5.png,1200,1280,PP-lX—US—2398 320x50 “(fay     T nk Taltz        PPVIXVUSV2398 © Lllly USA‘ LLC 2018 All llghts leserved Last mcdlﬂed Thu Ma! 28 2019 20 35 59
HCP - DERM Mobile Static Banner Ad_p0-23.png,1200,1280,PP-lX—US—2397 300x50 “(fay        ‘al     Learn about whaﬂalu can provide  PPVIXVUSVZ397 © Lllly USA‘ LLC 2018 All llghts leserved Last mcdlﬂed Thu Feb14 20191816 31
HCP - DERM Mobile Static Banner Ad_p1-4.png,1200,1280,PP-lX—US—2397 320x50 “(fay          Learn about whaﬂalu can provide  PPVIXVUSVZ397 © Lllly USA‘ LLC 2018 All llghts leserved Last mcdlﬂed Thu Feb14 20191816 31
HCP - DERM Static Banner - H2H Tremfya_p0-15.png,1200,1280,"PP-lX—US—3613 300x250  PPr‘XVUSr3613 (Z Lllly USA‘ LLC 2020 All rlgms reserved        talt‘i  uxemuman memo""  See the head-to-head data of Taltz vs. Tremfya® Iguselkumah)     mu' m Wm mm m m mum cum», m “Mm a. mm mm- m Wm mm :24 mm AMI-Ian Cnmmmn  pmummcum. ucmzn Mimi-Ram        Las1m0dlﬂed Tue Feb 11 202016 53 58"
